symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
PLD,ARCA,largecap,USD,Prologis,Real Estate,Industrial REITs,1997-11-21,2020-05-11
PM,ARCA,largecap,USD,Philip Morris International,Consumer Staples,Tobacco,2008-03-17,2020-05-11
PNC,ARCA,largecap,USD,PNC Financial Services,Financials,Regional Banks,1994-01-03,2020-05-11
PNR,ARCA,largecap,USD,Pentair plc,Industrials,Industrial Machinery,1994-01-03,2020-05-11
PNW,ARCA,largecap,USD,Pinnacle West Capital,Utilities,Multi-Utilities,1994-01-03,2020-05-11
PPG,ARCA,largecap,USD,PPG Industries,Materials,Specialty Chemicals,1994-01-03,2020-05-08
PPL,ARCA,largecap,USD,PPL Corp.,Utilities,Electric Utilities,1994-01-03,2020-05-08
PRGO,ARCA,largecap,USD,Perrigo,Health Care,Pharmaceuticals,1994-01-03,2020-05-11
PRU,ARCA,largecap,USD,Prudential Financial,Financials,Life & Health Insurance,2001-12-13,2020-05-11
PSA,ARCA,largecap,USD,Public Storage,Real Estate,Specialized REITs,1994-01-03,2020-05-11
PSX,ARCA,largecap,USD,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-04-12,2020-05-11
PVH,ARCA,largecap,USD,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1994-01-03,2020-05-11
PWR,ARCA,largecap,USD,Quanta Services Inc.,Industrials,Construction & Engineering,1998-02-12,2020-05-11
PXD,ARCA,largecap,USD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,1997-08-08,2020-05-11
PYPL,ARCA,largecap,USD,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-06,2020-05-11
QCOM,ARCA,largecap,USD,QUALCOMM Inc.,Information Technology,Semiconductors,1994-01-03,2020-05-11
QRVO,ARCA,largecap,USD,Qorvo,Information Technology,Semiconductors,2015-01-02,2020-05-11
RCL,ARCA,largecap,USD,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1994-01-03,2020-05-11
